ID	ชื่อรถ	IMEI	LastUpdate	วันที่ออฟไลน์	สถานะ
---	---	---	---	---	---
41	01	359857084627777	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
70	01	359857080527377	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
121	2ฒฌ-5638 (บ.ฟิลเตอร์มาร์ท) พระนครศรีอยุธยา	864180036708183	2026-08-25T16:12:51.248+00:00	ออฟไลน์ < 24 ชม.	car
124	2ฒฌ-5640 (บ.ฟิลเตอร์มาร์ท) รถคืนซาก พระนครศรีอยุธยา	864180036710155	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
253	359857080904881	359857080904881	2026-08-20T18:41:38.456+00:00	ออฟไลน์ 1-7 วัน	car
254	359857081303216	359857081303216	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
228	3ฒย-5075 กรุงเทพ	864180036716764	2026-08-24T22:33:53.781+00:00	ออฟไลน์ 1-7 วัน	car
81	70-3063 	863835026315106	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
255	70-3063 ราชบุรี	359857082879867	2026-08-22T10:34:34.871+00:00	ออฟไลน์ 1-7 วัน	truck
208	70-3743 เลย	359857082428822	2026-08-20T20:12:09.567+00:00	ออฟไลน์ 1-7 วัน	truck
172	70-4342 หนองคาย	863835026804174	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
166	70-4369 หนองคาย	868998035479860	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
174	70-4449 หนองคาย	860121060262626	2026-08-24T22:26:20.278+00:00	ออฟไลน์ 1-7 วัน	truck
173	70-4511 หนองคาย	359857086508470	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
171	70-4591 หนองคาย	359857082629619	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
170	70-4593 หนองคาย	352672110007861	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
168	70-4789 หนองคาย	359857081824641	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
169	70-4791 หนองคาย	359857086719549	2026-08-24T22:19:11.633+00:00	ออฟไลน์ 1-7 วัน	truck
167	70-4793 หนองคาย	359857082308214	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
75	70-7861	142180256755	2026-08-20T11:56:38.764+00:00	ออฟไลน์ 1-7 วัน	pickup
258	70-9571 สระบุรี	359857082979758	2026-08-21T12:05:27.717+00:00	ออฟไลน์ 1-7 วัน	car
256	74-6152 ชลบุรี	359857082474008	2026-08-24T22:46:03.524+00:00	ออฟไลน์ 1-7 วัน	truck
61	80-4593 หนองบัวลำภู	359857080990583	2026-08-24T22:41:14.490+00:00	ออฟไลน์ 1-7 วัน	truck
176	80-7125 สระบุรี	359857081514143	2026-08-18T06:59:35.128+00:00	ออฟไลน์ 1-7 วัน	truck
66	81-6700 พิจิตร	142180949785	2026-08-21T12:51:14.919+00:00	ออฟไลน์ 1-7 วัน	pickup
283	82-3751	359857083130195	2026-08-24T03:25:28.056+00:00	ออฟไลน์ 1-7 วัน	truck
32	82-5856	860503074962343	2026-08-02T11:11:06.035+00:00	ออฟไลน์ > 7 วัน	truck
164	82-8218 สมุทรปราการ	359857081691156	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
160	82-8235 สมุทรปราการ	142181256786	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
152	82-8330 กรุงเทพมหานคร	153220612313	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
276	82-8660	864507031394017	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
43	82-8661	864507031398828	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
50	82-8662	864507031231649	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
56	82-8910	863835029762601	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
274	82-9453	359857080829369	2026-08-24T22:41:20.491+00:00	ออฟไลน์ 1-7 วัน	truck
55	83-0557	863835029744740	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
273	83-0654	864507031395196	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
155	83-1009 สมุทรปราการ	359857082983263	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
154	83-1355 สมุทรปราการ	143190770587	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
153	83-2785 จอดซ่อม สมุทรปราการ	142180544590	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
156	83-3063 สมุทรปราการ	359857082936600	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
163	83-4814 สมุทรปราการ	359857081706459	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
157	83-6151 สมุทรปราการ	359857081296261	2026-08-25T11:34:22.143+00:00	ออฟไลน์ < 24 ชม.	truck
231	83-6326 ขอนแก่น	359857082472457	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
282	83-7585	142180949742	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
281	83-7586	142181024400	2026-08-26T03:23:09.020+00:00	ออฟไลน์ < 24 ชม.	truck
162	83-9803 สมุทรปราการ	142181256826	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
161	84-0787 สมุทรปราการ	359857081702755	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
158	84-0918 สมุทรปราการ	359857081510380	2026-08-16T08:01:56.679+00:00	ออฟไลน์ > 7 วัน	truck
118	84-1503 รถจอดไม่ใช้งาน กรุงเทพมหานคร	863835029176364	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
159	84-2027 สมุทรปราการ	860465041894316	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
151	84-2480 สมุทรปราการ	359857082996174	2026-08-24T02:30:32.133+00:00	ออฟไลน์ 1-7 วัน	truck
48	84-3323	359857086498094	2026-08-26T01:07:03.679+00:00	ออฟไลน์ < 24 ชม.	truck
150	84-3683 สมุทรปราการ	359857081697195	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
244	84-4344 อุดรธานี	359857081077265	2026-08-20T09:51:13.448+00:00	ออฟไลน์ 1-7 วัน	truck
232	84-7782 นครสวรรค์	860121060262451	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
233	84-7855 นครสวรรค์	860121060254698	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
234	84-8103 นครสวรรค์	860121060255133	2026-08-24T22:19:31.282+00:00	ออฟไลน์ 1-7 วัน	truck
230	85-6816 ขอนแก่น	868998035460303	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
37	86-0606 ชลบุรี	863835029765323	2026-08-26T03:58:15.848+00:00	ออฟไลน์ < 24 ชม.	truck
36	86-0607 ชลบุรี	863835029196446	2026-08-18T15:08:22.418+00:00	ออฟไลน์ 1-7 วัน	truck
35	86-0608 ชลบุรี	863835029755902	2026-08-25T09:56:23.936+00:00	ออฟไลน์ < 24 ชม.	truck
79	86-3706  ขอนแก่น	359857082990888	2026-08-09T18:46:37.607+00:00	ออฟไลน์ > 7 วัน	car
229	86-5853 ขอนแก่น	359857080420102	2026-08-26T03:29:15.053+00:00	ออฟไลน์ < 24 ชม.	truck
184	88-9432 นครราชสีมา	359857082247230	2026-08-26T03:45:50.875+00:00	ออฟไลน์ < 24 ชม.	
240	90-3254 นครราชสีมา	142181144991	2026-08-21T17:03:48.771+00:00	ออฟไลน์ 1-7 วัน	truck
262	90-4591 กรุงเทพ	359857082026386	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
268	93-0556 กรุงเทพ	142181256835	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
270	93-0557 กรุงเทพ	864507032339862	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
269	93-0558 กรุงเทพ	142181256765	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
267	93-1454 กรุงเทพ	142181256845	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
